# KaDE -l 6 --count Occurrences ode.4.12.4.ka --output ode.4.12.4 --output-plot ../data/ode.4.12.4.data
# [T] mono dimer q1 q2
1.090000 1.699175 2.150413 1.000000 1.034681
1.100000 1.699033 2.150484 1.000000 1.033669
1.110000 1.698895 2.150552 1.000000 1.032686
1.120000 1.698762 2.150619 1.000000 1.031732
1.130000 1.698632 2.150684 1.000000 1.030806
1.140000 1.698506 2.150747 1.000000 1.029908
1.150000 1.698383 2.150808 1.000000 1.029036
1.160000 1.698264 2.150868 1.000000 1.028190
1.170000 1.698149 2.150926 1.000000 1.027369
1.180000 1.698037 2.150982 1.000000 1.026572
1.190000 1.697928 2.151036 1.000000 1.025798
1.200000 1.697822 2.151089 1.000000 1.025047
1.210000 1.697719 2.151140 1.000000 1.024318
1.220000 1.697619 2.151190 1.000000 1.023611
1.230000 1.697522 2.151239 1.000000 1.022924
1.240000 1.697428 2.151286 1.000000 1.022257
1.250000 1.697337 2.151332 1.000000 1.021610
1.260000 1.697248 2.151376 1.000000 1.020982
1.270000 1.697162 2.151419 1.000000 1.020372
1.280000 1.697078 2.151461 1.000000 1.019780
1.290000 1.696997 2.151502 1.000000 1.019206
1.300000 1.696918 2.151541 1.000000 1.018648
1.310000 1.696841 2.151580 1.000000 1.018107
1.320000 1.696766 2.151617 1.000000 1.017581
1.330000 1.696694 2.151653 1.000000 1.017071
1.340000 1.696624 2.151688 1.000000 1.016575
1.350000 1.696555 2.151722 1.000000 1.016094
1.360000 1.696489 2.151755 1.000000 1.015628
1.370000 1.696425 2.151788 1.000000 1.015174
1.380000 1.696362 2.151819 1.000000 1.014734
1.390000 1.696301 2.151849 1.000000 1.014307
1.400000 1.696242 2.151879 1.000000 1.013892
1.410000 1.696185 2.151907 1.000000 1.013490
1.420000 1.696129 2.151935 1.000000 1.013099
1.430000 1.696075 2.151962 1.000000 1.012719
1.440000 1.696023 2.151989 1.000000 1.012351
1.450000 1.695972 2.152014 1.000000 1.011993
1.460000 1.695922 2.152039 1.000000 1.011645
1.470000 1.695874 2.152063 1.000000 1.011308
1.480000 1.695828 2.152086 1.000000 1.010981
1.490000 1.695782 2.152109 1.000000 1.010663
1.500000 1.695738 2.152131 1.000000 1.010354
1.510000 1.695695 2.152152 1.000000 1.010054
1.520000 1.695654 2.152173 1.000000 1.009763
1.530000 1.695613 2.152193 1.000000 1.009481
1.540000 1.695574 2.152213 1.000000 1.009206
1.550000 1.695536 2.152232 1.000000 1.008940
1.560000 1.695499 2.152250 1.000000 1.008681
1.570000 1.695463 2.152268 1.000000 1.008430
1.580000 1.695429 2.152286 1.000000 1.008186
1.590000 1.695395 2.152303 1.000000 1.007949
1.600000 1.695362 2.152319 1.000000 1.007719
1.610000 1.695330 2.152335 1.000000 1.007496
1.620000 1.695299 2.152351 1.000000 1.007279
1.630000 1.695269 2.152366 1.000000 1.007069
1.640000 1.695239 2.152380 1.000000 1.006864
1.650000 1.695211 2.152394 1.000000 1.006666
1.660000 1.695183 2.152408 1.000000 1.006473
1.670000 1.695157 2.152422 1.000000 1.006286
1.680000 1.695131 2.152435 1.000000 1.006104
1.690000 1.695105 2.152447 1.000000 1.005928
1.700000 1.695081 2.152460 1.000000 1.005757
1.710000 1.695057 2.152472 1.000000 1.005590
1.720000 1.695034 2.152483 1.000000 1.005429
1.730000 1.695011 2.152494 1.000000 1.005272
1.740000 1.694990 2.152505 1.000000 1.005119
1.750000 1.694968 2.152516 1.000000 1.004972
1.760000 1.694948 2.152526 1.000000 1.004828
1.770000 1.694928 2.152536 1.000000 1.004688
1.780000 1.694908 2.152546 1.000000 1.004553
1.790000 1.694889 2.152555 1.000000 1.004421
1.800000 1.694871 2.152564 1.000000 1.004294
1.810000 1.694853 2.152573 1.000000 1.004170
1.820000 1.694836 2.152582 1.000000 1.004049
1.830000 1.694819 2.152590 1.000000 1.003932
1.840000 1.694803 2.152599 1.000000 1.003819
1.850000 1.694787 2.152606 1.000000 1.003708
1.860000 1.694772 2.152614 1.000000 1.003601
1.870000 1.694757 2.152622 1.000000 1.003497
1.880000 1.694742 2.152629 1.000000 1.003396
1.890000 1.694728 2.152636 1.000000 1.003298
1.900000 1.694715 2.152643 1.000000 1.003203
1.910000 1.694701 2.152649 1.000000 1.003110
1.920000 1.694688 2.152656 1.000000 1.003021
1.930000 1.694676 2.152662 1.000000 1.002933
1.940000 1.694664 2.152668 1.000000 1.002849
1.950000 1.694652 2.152674 1.000000 1.002766
1.960000 1.694640 2.152680 1.000000 1.002687
1.970000 1.694629 2.152685 1.000000 1.002609
1.980000 1.694619 2.152691 1.000000 1.002534
1.990000 1.694608 2.152696 1.000000 1.002461
2.000000 1.694598 2.152701 1.000000 1.002390
2.010000 1.694588 2.152706 1.000000 1.002321
2.020000 1.694578 2.152711 1.000000 1.002254
2.030000 1.694569 2.152716 1.000000 1.002189
2.040000 1.694560 2.152720 1.000000 1.002125
2.050000 1.694551 2.152724 1.000000 1.002064
2.060000 1.694542 2.152729 1.000000 1.002004
2.070000 1.694534 2.152733 1.000000 1.001947
2.080000 1.694526 2.152737 1.000000 1.001890
2.090000 1.694518 2.152741 1.000000 1.001836
2.100000 1.694511 2.152745 1.000000 1.001783
2.110000 1.694503 2.152748 1.000000 1.001731
2.120000 1.694496 2.152752 1.000000 1.001681
2.130000 1.694489 2.152755 1.000000 1.001633
2.140000 1.694482 2.152759 1.000000 1.001586
2.150000 1.694476 2.152762 1.000000 1.001540
2.160000 1.694469 2.152765 1.000000 1.001496
2.170000 1.694463 2.152768 1.000000 1.001452
2.180000 1.694457 2.152771 1.000000 1.001411
2.190000 1.694451 2.152774 1.000000 1.001370
2.200000 1.694446 2.152777 1.000000 1.001330
2.210000 1.694440 2.152780 1.000000 1.001292
2.220000 1.694435 2.152783 1.000000 1.001255
2.230000 1.694429 2.152785 1.000000 1.001218
2.240000 1.694424 2.152788 1.000000 1.001183
2.250000 1.694420 2.152790 1.000000 1.001149
2.260000 1.694415 2.152793 1.000000 1.001116
2.270000 1.694410 2.152795 1.000000 1.001084
2.280000 1.694406 2.152797 1.000000 1.001052
2.290000 1.694401 2.152799 1.000000 1.001022
2.300000 1.694397 2.152801 1.000000 1.000993
2.310000 1.694393 2.152804 1.000000 1.000964
2.320000 1.694389 2.152806 1.000000 1.000936
2.330000 1.694385 2.152808 1.000000 1.000909
2.340000 1.694381 2.152809 1.000000 1.000883
2.350000 1.694378 2.152811 1.000000 1.000857
2.360000 1.694374 2.152813 1.000000 1.000833
2.370000 1.694371 2.152815 1.000000 1.000809
2.380000 1.694367 2.152816 1.000000 1.000785
2.390000 1.694364 2.152818 1.000000 1.000763
2.400000 1.694361 2.152820 1.000000 1.000741
2.410000 1.694358 2.152821 1.000000 1.000719
2.420000 1.694355 2.152823 1.000000 1.000699
2.430000 1.694352 2.152824 1.000000 1.000678
2.440000 1.694349 2.152826 1.000000 1.000659
2.450000 1.694346 2.152827 1.000000 1.000640
2.460000 1.694344 2.152828 1.000000 1.000621
2.470000 1.694341 2.152829 1.000000 1.000603
2.480000 1.694339 2.152831 1.000000 1.000586
2.490000 1.694336 2.152832 1.000000 1.000569
2.500000 1.694334 2.152833 1.000000 1.000553
2.510000 1.694331 2.152834 1.000000 1.000537
2.520000 1.694329 2.152835 1.000000 1.000521
2.530000 1.694327 2.152836 1.000000 1.000506
2.540000 1.694325 2.152838 1.000000 1.000492
2.550000 1.694323 2.152839 1.000000 1.000477
2.560000 1.694321 2.152840 1.000000 1.000464
2.570000 1.694319 2.152841 1.000000 1.000450
2.580000 1.694317 2.152841 1.000000 1.000437
2.590000 1.694315 2.152842 1.000000 1.000425
2.600000 1.694314 2.152843 1.000000 1.000412
2.610000 1.694312 2.152844 1.000000 1.000401
2.620000 1.694310 2.152845 1.000000 1.000389
2.630000 1.694309 2.152846 1.000000 1.000378
2.640000 1.694307 2.152847 1.000000 1.000367
2.650000 1.694305 2.152847 1.000000 1.000356
2.660000 1.694304 2.152848 1.000000 1.000346
2.670000 1.694303 2.152849 1.000000 1.000336
2.680000 1.694301 2.152849 1.000000 1.000326
2.690000 1.694300 2.152850 1.000000 1.000317
2.700000 1.694298 2.152851 1.000000 1.000308
2.710000 1.694297 2.152851 1.000000 1.000299
2.720000 1.694296 2.152852 1.000000 1.000290
2.730000 1.694295 2.152853 1.000000 1.000282
2.740000 1.694294 2.152853 1.000000 1.000274
2.750000 1.694292 2.152854 1.000000 1.000266
2.760000 1.694291 2.152854 1.000000 1.000258
2.770000 1.694290 2.152855 1.000000 1.000251
2.780000 1.694289 2.152855 1.000000 1.000244
2.790000 1.694288 2.152856 1.000000 1.000237
2.800000 1.694287 2.152856 1.000000 1.000230
2.810000 1.694286 2.152857 1.000000 1.000223
2.820000 1.694285 2.152857 1.000000 1.000217
2.830000 1.694284 2.152858 1.000000 1.000210
2.840000 1.694284 2.152858 1.000000 1.000204
2.850000 1.694283 2.152859 1.000000 1.000198
2.860000 1.694282 2.152859 1.000000 1.000193
2.870000 1.694281 2.152859 1.000000 1.000187
2.880000 1.694280 2.152860 1.000000 1.000182
2.890000 1.694280 2.152860 1.000000 1.000177
2.900000 1.694279 2.152861 1.000000 1.000171
2.910000 1.694278 2.152861 1.000000 1.000166
2.920000 1.694277 2.152861 1.000000 1.000162
2.930000 1.694277 2.152862 1.000000 1.000157
2.940000 1.694276 2.152862 1.000000 1.000152
2.950000 1.694275 2.152862 1.000000 1.000148
2.960000 1.694275 2.152863 1.000000 1.000144
2.970000 1.694274 2.152863 1.000000 1.000140
2.980000 1.694274 2.152863 1.000000 1.000136
2.990000 1.694273 2.152863 1.000000 1.000132
3.000000 1.694273 2.152864 1.000000 1.000128
3.010000 1.694272 2.152864 1.000000 1.000124
3.020000 1.694272 2.152864 1.000000 1.000121
