# KaDE -l 6 --count Occurrences kappa/ode.4.12.3.ka --output kappa/ode.4.12.3 --output-plot ../data/ode.4.12.3.data
# [T] mono dimer q1 q2 
0.000000 6.000000 0.000000 NaN NaN 
0.010000 4.241966 0.879017 2.000000 4.000000 
0.020000 3.307270 1.346365 2.000000 4.000000 
0.030000 2.735599 1.632200 2.000000 4.000000 
0.040000 2.353430 1.823285 2.000000 4.000000 
0.050000 2.089177 1.955412 2.000000 4.000000 
0.060000 1.891456 2.054272 2.000000 4.000000 
0.070000 1.744770 2.127615 2.000000 4.000000 
0.080000 1.631592 2.184204 2.000000 4.000000 
0.090000 1.544115 2.227943 2.000000 4.000000 
0.100000 1.474465 2.262767 2.000000 4.000000 
0.110000 1.419419 2.290291 2.000000 4.000000 
0.120000 1.374816 2.312592 2.000000 4.000000 
0.130000 1.339064 2.330468 2.000000 4.000000 
0.140000 1.309766 2.345117 2.000000 4.000000 
0.150000 1.286065 2.356968 2.000000 4.000000 
0.160000 1.266497 2.366752 2.000000 4.000000 
0.170000 1.250570 2.374715 2.000000 4.000000 
0.180000 1.237355 2.381323 2.000000 4.000000 
0.190000 1.226554 2.386723 2.000000 4.000000 
0.200000 1.217562 2.391219 2.000000 4.000000 
0.210000 1.210193 2.394903 2.000000 4.000000 
0.220000 1.204044 2.397978 2.000000 4.000000 
0.230000 1.198994 2.400503 2.000000 4.000000 
0.240000 1.194774 2.402613 2.000000 4.000000 
0.250000 1.191304 2.404348 2.000000 4.000000 
0.260000 1.188401 2.405800 2.000000 4.000000 
0.270000 1.186011 2.406994 2.000000 4.000000 
0.280000 1.184011 2.407995 2.000000 4.000000 
0.290000 1.182364 2.408818 2.000000 4.000000 
0.300000 1.180984 2.409508 2.000000 4.000000 
0.310000 1.179847 2.410077 2.000000 4.000000 
0.320000 1.178894 2.410553 2.000000 4.000000 
0.330000 1.178109 2.410946 2.000000 4.000000 
0.340000 1.177451 2.411275 2.000000 4.000000 
0.350000 1.176909 2.411546 2.000000 4.000000 
0.360000 1.176454 2.411773 2.000000 4.000000 
0.370000 1.176079 2.411961 2.000000 4.000000 
0.380000 1.175765 2.412118 2.000000 4.000000 
0.390000 1.175506 2.412247 2.000000 4.000000 
0.400000 1.175288 2.412356 2.000000 4.000000 
0.410000 1.175109 2.412445 2.000000 4.000000 
0.420000 1.174959 2.412521 2.000000 4.000000 
0.430000 1.174835 2.412582 2.000000 4.000000 
0.440000 1.174731 2.412634 2.000000 4.000000 
0.450000 1.174645 2.412677 2.000000 4.000000 
0.460000 1.174574 2.412713 2.000000 4.000000 
0.470000 1.174514 2.412743 2.000000 4.000000 
0.480000 1.174465 2.412768 2.000000 4.000000 
0.490000 1.174424 2.412788 2.000000 4.000000 
0.500000 1.174389 2.412805 2.000000 4.000000 
0.510000 1.174361 2.412819 2.000000 4.000000 
0.520000 1.174337 2.412831 2.000000 4.000000 
0.530000 1.174318 2.412841 2.000000 4.000000 
0.540000 1.174301 2.412849 2.000000 4.000000 
0.550000 1.174288 2.412856 2.000000 4.000000 
0.560000 1.174276 2.412862 2.000000 4.000000 
0.570000 1.174267 2.412866 2.000000 4.000000 
0.580000 1.174259 2.412870 2.000000 4.000000 
0.590000 1.174253 2.412874 2.000000 4.000000 
0.600000 1.174247 2.412876 2.000000 4.000000 
0.610000 1.174243 2.412879 2.000000 4.000000 
0.620000 1.174239 2.412880 2.000000 4.000000 
0.630000 1.174236 2.412882 2.000000 4.000000 
0.640000 1.174233 2.412883 2.000000 4.000000 
0.650000 1.174231 2.412884 2.000000 4.000000 
0.660000 1.174229 2.412885 2.000000 4.000000 
0.670000 1.174228 2.412886 2.000000 4.000000 
0.680000 1.174227 2.412887 2.000000 4.000000 
0.690000 1.174226 2.412887 2.000000 4.000000 
0.700000 1.174225 2.412888 2.000000 4.000000 
0.710000 1.174224 2.412888 2.000000 4.000000 
0.720000 1.174224 2.412888 2.000000 4.000000 
0.730000 1.174223 2.412888 2.000000 4.000000 
0.740000 1.174223 2.412889 2.000000 4.000000 
0.750000 1.174222 2.412889 2.000000 4.000000 
0.760000 1.174222 2.412889 2.000000 4.000000 
0.770000 1.174222 2.412889 2.000000 4.000000 
0.780000 1.174222 2.412889 2.000000 4.000000 
0.790000 1.174221 2.412889 2.000000 4.000000 
0.800000 1.174221 2.412889 2.000000 4.000000 
0.810000 1.174221 2.412889 2.000000 4.000000 
0.820000 1.174221 2.412889 2.000000 4.000000 
0.830000 1.174221 2.412889 2.000000 4.000000 
0.840000 1.174221 2.412890 2.000000 4.000000 
0.850000 1.174221 2.412890 2.000000 4.000000 
0.860000 1.174221 2.412890 2.000000 4.000000 
0.870000 1.174221 2.412890 2.000000 4.000000 
0.880000 1.174221 2.412890 2.000000 4.000000 
0.890000 1.174221 2.412890 2.000000 4.000000 
0.900000 1.174221 2.412890 2.000000 4.000000 
0.910000 1.174221 2.412890 2.000000 4.000000 
0.920000 1.174221 2.412890 2.000000 4.000000 
0.930000 1.174221 2.412890 2.000000 4.000000 
0.940000 1.174221 2.412890 2.000000 4.000000 
0.950000 1.174221 2.412890 2.000000 4.000000 
0.960000 1.174221 2.412890 2.000000 4.000000 
0.970000 1.174221 2.412890 2.000000 4.000000 
0.980000 1.174221 2.412890 2.000000 4.000000 
0.990000 1.174221 2.412890 2.000000 4.000000 
1.000000 1.174221 2.412890 2.000000 4.000000 
1.010000 1.174221 2.412890 2.000000 4.000000 
1.020000 1.174221 2.412890 2.000000 4.000000 
1.030000 1.174221 2.412890 2.000000 4.000000 
1.040000 1.174221 2.412890 2.000000 4.000000 
1.050000 1.174221 2.412890 2.000000 4.000000 
1.060000 1.174221 2.412890 2.000000 4.000000 
1.070000 1.174221 2.412890 2.000000 4.000000 
1.080000 1.174221 2.412890 2.000000 4.000000 
1.090000 1.174221 2.412890 2.000000 4.000000 
1.100000 1.174221 2.412890 2.000000 4.000000 
1.110000 1.174221 2.412890 2.000000 4.000000 
1.120000 1.174221 2.412890 2.000000 4.000000 
1.130000 1.174221 2.412890 2.000000 4.000000 
