# KaDE -l 6 --count Occurrences ode.4.12.4.red.ka --output ode.4.12.4.red --output-plot ../data/ode.4.12.4.red.data
# [T],A,|A.x-x|,
0.000000,6.000000,0.000000,
0.010000,4.241168,0.879416,
0.020000,3.306207,1.346897,
0.030000,2.733978,1.633011,
0.040000,2.353599,1.823200,
0.050000,2.086062,1.956969,
0.060000,1.890511,2.054744,
0.070000,1.743409,2.128295,
0.080000,1.630598,2.184701,
0.090000,1.543033,2.228484,
0.100000,1.473637,2.263182,
0.110000,1.418355,2.290822,
0.120000,1.374028,2.312986,
0.130000,1.338094,2.330953,
0.140000,1.309005,2.345498,
0.150000,1.285226,2.357387,
0.160000,1.265857,2.367072,
0.170000,1.249904,2.375048,
0.180000,1.236841,2.381579,
0.190000,1.226038,2.386981,
0.200000,1.217161,2.391420,
0.210000,1.209798,2.395101,
0.220000,1.203735,2.398133,
0.230000,1.198696,2.400652,
0.240000,1.194539,2.402731,
0.250000,1.191080,2.404460,
0.260000,1.188224,2.405888,
0.270000,1.185845,2.407078,
0.280000,1.183879,2.408061,
0.290000,1.182240,2.408880,
0.300000,1.180885,2.409557,
0.310000,1.179756,2.410122,
0.320000,1.178821,2.410589,
0.330000,1.178042,2.410979,
0.340000,1.177397,2.411301,
0.350000,1.176859,2.411570,
0.360000,1.176414,2.411793,
0.370000,1.176043,2.411978,
0.380000,1.175736,2.412132,
0.390000,1.175479,2.412260,
0.400000,1.175267,2.412366,
0.410000,1.175090,2.412455,
0.420000,1.174944,2.412528,
0.430000,1.174821,2.412589,
0.440000,1.174720,2.412640,
0.450000,1.174636,2.412682,
0.460000,1.174566,2.412717,
0.470000,1.174507,2.412746,
0.480000,1.174459,2.412771,
0.490000,1.174419,2.412791,
0.500000,1.174385,2.412807,
0.510000,1.174357,2.412821,
0.520000,1.174334,2.412833,
0.530000,1.174315,2.412842,
0.540000,1.174299,2.412850,
0.550000,1.174286,2.412857,
0.560000,1.174275,2.412863,
0.570000,1.174266,2.412867,
0.580000,1.174258,2.412871,
0.590000,1.174252,2.412874,
0.600000,1.174247,2.412877,
0.610000,1.174242,2.412879,
0.620000,1.174239,2.412881,
0.630000,1.174236,2.412882,
0.640000,1.174233,2.412883,
0.650000,1.174231,2.412885,
0.660000,1.174229,2.412885,
0.670000,1.174228,2.412886,
0.680000,1.174227,2.412887,
