# KaDE -l 6 --count Occurrences kappa/ode.4.12.3.red.ka --output kappa/ode.4.12.3.red --output-plot ../data/ode.4.12.3.red.data
# [T] A |A.x-x| 
1.690000 1.174221 2.412890 
1.700000 1.174221 2.412890 
1.710000 1.174221 2.412890 
1.720000 1.174221 2.412890 
1.730000 1.174221 2.412890 
1.740000 1.174221 2.412890 
1.750000 1.174221 2.412890 
1.760000 1.174221 2.412890 
1.770000 1.174221 2.412890 
1.780000 1.174221 2.412890 
1.790000 1.174221 2.412890 
1.800000 1.174221 2.412890 
1.810000 1.174221 2.412890 
1.820000 1.174221 2.412890 
1.830000 1.174221 2.412890 
1.840000 1.174221 2.412890 
1.850000 1.174221 2.412890 
1.860000 1.174221 2.412890 
1.870000 1.174221 2.412890 
1.880000 1.174221 2.412890 
1.890000 1.174221 2.412890 
1.900000 1.174221 2.412890 
1.910000 1.174221 2.412890 
1.920000 1.174221 2.412890 
1.930000 1.174221 2.412890 
1.940000 1.174221 2.412890 
1.950000 1.174221 2.412890 
1.960000 1.174221 2.412890 
1.970000 1.174221 2.412890 
1.980000 1.174221 2.412890 
1.990000 1.174221 2.412890 
2.000000 1.174221 2.412890 
2.010000 1.174221 2.412890 
2.020000 1.174221 2.412890 
2.030000 1.174221 2.412890 
2.040000 1.174221 2.412890 
2.050000 1.174221 2.412890 
2.060000 1.174221 2.412890 
2.070000 1.174221 2.412890 
2.080000 1.174221 2.412890 
2.090000 1.174221 2.412890 
2.100000 1.174221 2.412890 
2.110000 1.174221 2.412890 
2.120000 1.174221 2.412890 
2.130000 1.174221 2.412890 
2.140000 1.174221 2.412890 
2.150000 1.174221 2.412890 
2.160000 1.174221 2.412890 
2.170000 1.174221 2.412890 
2.180000 1.174221 2.412890 
2.190000 1.174221 2.412890 
2.200000 1.174221 2.412890 
2.210000 1.174221 2.412890 
2.220000 1.174221 2.412890 
2.230000 1.174221 2.412890 
2.240000 1.174221 2.412890 
2.250000 1.174221 2.412890 
2.260000 1.174221 2.412890 
2.270000 1.174221 2.412890 
2.280000 1.174221 2.412890 
2.290000 1.174221 2.412890 
2.300000 1.174221 2.412890 
2.310000 1.174221 2.412890 
2.320000 1.174221 2.412890 
2.330000 1.174221 2.412890 
2.340000 1.174221 2.412890 
2.350000 1.174221 2.412890 
2.360000 1.174221 2.412890 
2.370000 1.174221 2.412890 
2.380000 1.174221 2.412890 
2.390000 1.174221 2.412890 
2.400000 1.174221 2.412890 
2.410000 1.174221 2.412890 
2.420000 1.174221 2.412890 
2.430000 1.174221 2.412890 
2.440000 1.174221 2.412890 
2.450000 1.174221 2.412890 
2.460000 1.174221 2.412890 
2.470000 1.174221 2.412890 
2.480000 1.174221 2.412890 
2.490000 1.174221 2.412890 
2.500000 1.174221 2.412890 
2.510000 1.174221 2.412890 
2.520000 1.174221 2.412890 
2.530000 1.174221 2.412890 
2.540000 1.174221 2.412890 
2.550000 1.174221 2.412890 
2.560000 1.174221 2.412890 
2.570000 1.174221 2.412890 
2.580000 1.174221 2.412890 
2.590000 1.174221 2.412890 
2.600000 1.174221 2.412890 
2.610000 1.174221 2.412890 
2.620000 1.174221 2.412890 
2.630000 1.174221 2.412890 
2.640000 1.174221 2.412890 
2.650000 1.174221 2.412890 
2.660000 1.174221 2.412890 
2.670000 1.174221 2.412890 
2.680000 1.174221 2.412890 
2.690000 1.174221 2.412890 
2.700000 1.174221 2.412890 
2.710000 1.174221 2.412890 
2.720000 1.174221 2.412890 
2.730000 1.174221 2.412890 
2.740000 1.174221 2.412890 
2.750000 1.174221 2.412890 
2.760000 1.174221 2.412890 
2.770000 1.174221 2.412890 
2.780000 1.174221 2.412890 
2.790000 1.174221 2.412890 
2.800000 1.174221 2.412890 
2.810000 1.174221 2.412890 
2.820000 1.174221 2.412890 
2.830000 1.174221 2.412890 
2.840000 1.174221 2.412890 
2.850000 1.174221 2.412890 
2.860000 1.174221 2.412890 
2.870000 1.174221 2.412890 
2.880000 1.174221 2.412890 
2.890000 1.174221 2.412890 
2.900000 1.174221 2.412890 
2.910000 1.174221 2.412890 
2.920000 1.174221 2.412890 
2.930000 1.174221 2.412890 
2.940000 1.174221 2.412890 
2.950000 1.174221 2.412890 
2.960000 1.174221 2.412890 
2.970000 1.174221 2.412890 
2.980000 1.174221 2.412890 
2.990000 1.174221 2.412890 
