# KaDE -l 6 --count Occurrences kappa/ode.4.12.red.ka --output kappa/ode.4.12.red --output-plot ../data/ode.4.12.red.data
# [T] A |A.x-x| 
3.640000 1.500000 2.250000 
3.650000 1.500000 2.250000 
3.660000 1.500000 2.250000 
3.670000 1.500000 2.250000 
3.680000 1.500000 2.250000 
3.690000 1.500000 2.250000 
3.700000 1.500000 2.250000 
3.710000 1.500000 2.250000 
3.720000 1.500000 2.250000 
3.730000 1.500000 2.250000 
3.740000 1.500000 2.250000 
3.750000 1.500000 2.250000 
3.760000 1.500000 2.250000 
3.770000 1.500000 2.250000 
3.780000 1.500000 2.250000 
3.790000 1.500000 2.250000 
3.800000 1.500000 2.250000 
3.810000 1.500000 2.250000 
3.820000 1.500000 2.250000 
3.830000 1.500000 2.250000 
3.840000 1.500000 2.250000 
3.850000 1.500000 2.250000 
3.860000 1.500000 2.250000 
3.870000 1.500000 2.250000 
3.880000 1.500000 2.250000 
3.890000 1.500000 2.250000 
3.900000 1.500000 2.250000 
3.910000 1.500000 2.250000 
3.920000 1.500000 2.250000 
3.930000 1.500000 2.250000 
3.940000 1.500000 2.250000 
3.950000 1.500000 2.250000 
3.960000 1.500000 2.250000 
3.970000 1.500000 2.250000 
3.980000 1.500000 2.250000 
3.990000 1.500000 2.250000 
4.000000 1.500000 2.250000 
4.010000 1.500000 2.250000 
4.020000 1.500000 2.250000 
4.030000 1.500000 2.250000 
4.040000 1.500000 2.250000 
4.050000 1.500000 2.250000 
4.060000 1.500000 2.250000 
4.070000 1.500000 2.250000 
4.080000 1.500000 2.250000 
4.090000 1.500000 2.250000 
4.100000 1.500000 2.250000 
4.110000 1.500000 2.250000 
4.120000 1.500000 2.250000 
4.130000 1.500000 2.250000 
4.140000 1.500000 2.250000 
4.150000 1.500000 2.250000 
4.160000 1.500000 2.250000 
4.170000 1.500000 2.250000 
4.180000 1.500000 2.250000 
4.190000 1.500000 2.250000 
4.200000 1.500000 2.250000 
4.210000 1.500000 2.250000 
4.220000 1.500000 2.250000 
4.230000 1.500000 2.250000 
4.240000 1.500000 2.250000 
4.250000 1.500000 2.250000 
4.260000 1.500000 2.250000 
4.270000 1.500000 2.250000 
4.280000 1.500000 2.250000 
4.290000 1.500000 2.250000 
4.300000 1.500000 2.250000 
4.310000 1.500000 2.250000 
4.320000 1.500000 2.250000 
4.330000 1.500000 2.250000 
4.340000 1.500000 2.250000 
4.350000 1.500000 2.250000 
4.360000 1.500000 2.250000 
4.370000 1.500000 2.250000 
4.380000 1.500000 2.250000 
4.390000 1.500000 2.250000 
4.400000 1.500000 2.250000 
4.410000 1.500000 2.250000 
4.420000 1.500000 2.250000 
4.430000 1.500000 2.250000 
4.440000 1.500000 2.250000 
4.450000 1.500000 2.250000 
4.460000 1.500000 2.250000 
4.470000 1.500000 2.250000 
4.480000 1.500000 2.250000 
4.490000 1.500000 2.250000 
4.500000 1.500000 2.250000 
4.510000 1.500000 2.250000 
4.520000 1.500000 2.250000 
4.530000 1.500000 2.250000 
4.540000 1.500000 2.250000 
4.550000 1.500000 2.250000 
4.560000 1.500000 2.250000 
4.570000 1.500000 2.250000 
4.580000 1.500000 2.250000 
4.590000 1.500000 2.250000 
4.600000 1.500000 2.250000 
4.610000 1.500000 2.250000 
4.620000 1.500000 2.250000 
4.630000 1.500000 2.250000 
4.640000 1.500000 2.250000 
4.650000 1.500000 2.250000 
4.660000 1.500000 2.250000 
4.670000 1.500000 2.250000 
4.680000 1.500000 2.250000 
4.690000 1.500000 2.250000 
4.700000 1.500000 2.250000 
4.710000 1.500000 2.250000 
4.720000 1.500000 2.250000 
4.730000 1.500000 2.250000 
4.740000 1.500000 2.250000 
4.750000 1.500000 2.250000 
4.760000 1.500000 2.250000 
4.770000 1.500000 2.250000 
4.780000 1.500000 2.250000 
