# KaDE sym_KO.ka --count Occurrences
# [T],A,|A.x-x|,|A.y-y|,|A.x-y|,total,mono,dimer,
0.660000,1.394363,0.863534,0.863534,0.575751,4.272933,1.394363,1.439285,
0.670000,1.393624,0.864609,0.864609,0.573970,4.270782,1.393624,1.438579,
0.680000,1.392917,0.865664,0.865664,0.572214,4.268673,1.392917,1.437878,
0.690000,1.392240,0.866698,0.866698,0.570483,4.266604,1.392240,1.437182,
0.700000,1.391591,0.867713,0.867713,0.568778,4.264573,1.391591,1.436491,
0.710000,1.390967,0.868709,0.868709,0.567098,4.262581,1.390967,1.435807,
0.720000,1.390367,0.869687,0.869687,0.565442,4.260626,1.390367,1.435129,
0.730000,1.389790,0.870647,0.870647,0.563811,4.258706,1.389790,1.434458,
0.740000,1.389233,0.871590,0.871590,0.562205,4.256821,1.389233,1.433794,
0.750000,1.388695,0.872515,0.872515,0.560623,4.254970,1.388695,1.433138,
0.760000,1.388175,0.873424,0.873424,0.559064,4.253152,1.388175,1.432488,
0.770000,1.387672,0.874317,0.874317,0.557530,4.251366,1.387672,1.431847,
0.780000,1.387184,0.875194,0.875194,0.556019,4.249611,1.387184,1.431214,
0.790000,1.386711,0.876056,0.876056,0.554532,4.247888,1.386711,1.430588,
0.800000,1.386253,0.876903,0.876903,0.553068,4.246194,1.386253,1.429971,
0.810000,1.385807,0.877735,0.877735,0.551626,4.244530,1.385807,1.429361,
0.820000,1.385374,0.878553,0.878553,0.550207,4.242894,1.385374,1.428760,
0.830000,1.384952,0.879357,0.879357,0.548810,4.241286,1.384952,1.428167,
0.840000,1.384541,0.880147,0.880147,0.547436,4.239706,1.384541,1.427582,
0.850000,1.384141,0.880923,0.880923,0.546082,4.238153,1.384141,1.427006,
0.860000,1.383751,0.881687,0.881687,0.544751,4.236626,1.383751,1.426438,
0.870000,1.383370,0.882438,0.882438,0.543440,4.235125,1.383370,1.425878,
0.880000,1.382998,0.883175,0.883175,0.542150,4.233649,1.382998,1.425326,
0.890000,1.382635,0.883901,0.883901,0.540881,4.232198,1.382635,1.424782,
0.900000,1.382280,0.884614,0.884614,0.539632,4.230771,1.382280,1.424246,
0.910000,1.381932,0.885316,0.885316,0.538402,4.229369,1.381932,1.423718,
0.920000,1.381593,0.886005,0.886005,0.537193,4.227989,1.381593,1.423198,
0.930000,1.381260,0.886684,0.886684,0.536003,4.226633,1.381260,1.422686,
0.940000,1.380935,0.887351,0.887351,0.534831,4.225299,1.380935,1.422182,
0.950000,1.380616,0.888007,0.888007,0.533679,4.223987,1.380616,1.421686,
0.960000,1.380304,0.888652,0.888652,0.532545,4.222697,1.380304,1.421197,
0.970000,1.379997,0.889286,0.889286,0.531430,4.221428,1.379997,1.420715,
0.980000,1.379697,0.889910,0.889910,0.530332,4.220181,1.379697,1.420242,
0.990000,1.379403,0.890524,0.890524,0.529251,4.218953,1.379403,1.419775,
1.000000,1.379114,0.891127,0.891127,0.528189,4.217746,1.379114,1.419316,
